sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
249,2026-07-30T11:42:56Z,1785411776518957053,258,12020,11984,17,205,48151,324154735,200,196,196,448255600,354080
250,2026-07-30T11:42:57Z,1785411777553135330,259,11984,12020,17,205,48357,324155502,200,196,196,448255600,354081
251,2026-07-30T11:42:58Z,1785411778587132836,260,11984,12000,17,205,48561,324156272,200,196,196,448255600,354089
252,2026-07-30T11:42:59Z,1785411779620897273,261,11988,11988,17,206,48762,324157052,200,196,196,448255600,354094
253,2026-07-30T11:43:00Z,1785411780655822486,262,11900,11956,17,185,48968,324157826,200,196,196,448255600,354100
254,2026-07-30T11:43:01Z,1785411781691798911,263,11900,11956,17,185,49174,324158601,200,196,196,448255600,354107
255,2026-07-30T11:43:02Z,1785411782725322317,264,11836,11956,17,185,49377,324159370,200,196,196,448255600,354114
256,2026-07-30T11:43:03Z,1785411783759111984,265,11836,11956,17,185,49582,324160148,200,196,196,448255600,354123
257,2026-07-30T11:43:04Z,1785411784793622646,266,11836,11956,17,185,49783,324160911,200,196,196,448255600,354136
258,2026-07-30T11:43:05Z,1785411785829601977,267,11840,11956,17,185,49987,324161679,200,196,196,448255600,354147
259,2026-07-30T11:43:06Z,1785411786863438478,268,11940,11956,17,185,50191,324162455,200,196,196,448255600,354154
260,2026-07-30T11:43:07Z,1785411787897466208,269,11836,11956,17,185,50396,324163222,200,196,196,448255600,354157
261,2026-07-30T11:43:08Z,1785411788930982162,270,11836,11956,17,185,50600,324163992,200,196,196,448255600,354164
262,2026-07-30T11:43:09Z,1785411789967433982,271,11924,11956,17,185,50804,324164761,200,196,196,448255600,354166
263,2026-07-30T11:43:11Z,1785411791001673858,273,11836,11956,17,185,51006,324165531,200,196,196,448255600,354174
264,2026-07-30T11:43:12Z,1785411792034653954,274,11836,11956,17,185,51210,324166309,200,196,196,448255600,354185
265,2026-07-30T11:43:13Z,1785411793068549414,275,11836,11956,17,185,51404,324167083,200,196,196,448255600,354195
266,2026-07-30T11:43:14Z,1785411794103118993,276,11836,11956,17,185,51607,324167854,200,196,196,448255600,354206
267,2026-07-30T11:43:15Z,1785411795137978282,277,11836,11956,17,185,51813,324168625,200,196,196,448255600,354216
268,2026-07-30T11:43:16Z,1785411796176461289,278,11860,11956,17,189,52023,324169396,200,196,196,448255600,354226
269,2026-07-30T11:43:17Z,1785411797212350848,279,11900,11956,17,189,52230,324170167,200,196,196,448255600,354238
270,2026-07-30T11:43:18Z,1785411798246565856,280,11860,11956,17,189,52435,324170941,200,196,196,448255600,354248
271,2026-07-30T11:43:19Z,1785411799279977989,281,11860,11956,17,189,52639,324171712,200,196,196,448255600,354254
272,2026-07-30T11:43:20Z,1785411800314078598,282,11860,11956,17,189,52844,324172478,200,196,196,448255600,354264
