sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
544,2026-07-30T11:31:49Z,1785411109284450561,562,6652,6896,5,165,95968,323651443,200,196,196,448255598,353820
545,2026-07-30T11:31:50Z,1785411110316669606,563,6652,6896,5,165,96131,323652199,200,196,196,448255598,353820
546,2026-07-30T11:31:51Z,1785411111350264648,564,6652,6896,5,165,96297,323652957,200,196,196,448255598,353820
547,2026-07-30T11:31:52Z,1785411112382329977,565,6652,6896,5,165,96473,323653729,200,196,196,448255598,353820
548,2026-07-30T11:31:53Z,1785411113415969862,566,6652,6896,5,165,96641,323654493,200,196,196,448255598,353820
549,2026-07-30T11:31:54Z,1785411114448734369,567,6652,6896,5,165,96815,323655260,200,196,196,448255598,353820
550,2026-07-30T11:31:55Z,1785411115481324867,568,6664,6896,5,168,96987,323656030,200,196,196,448255598,353820
551,2026-07-30T11:31:56Z,1785411116514637452,569,6664,6896,5,168,97166,323656811,200,196,196,448255598,353820
552,2026-07-30T11:31:57Z,1785411117547467880,570,6664,6896,5,168,97348,323657577,200,196,196,448255598,353820
553,2026-07-30T11:31:58Z,1785411118582518943,571,6664,6896,5,168,97526,323658355,200,196,196,448255598,353820
554,2026-07-30T11:31:59Z,1785411119616405715,572,6664,6896,5,168,97703,323659126,200,196,196,448255598,353820
555,2026-07-30T11:32:00Z,1785411120649771762,573,6664,6896,5,168,97883,323659904,200,196,196,448255598,353820
556,2026-07-30T11:32:01Z,1785411121683836136,574,6664,6896,5,168,98075,323660675,200,196,196,448255598,353820
557,2026-07-30T11:32:02Z,1785411122717346566,575,6700,6896,5,166,98255,323661453,200,196,196,448255598,353820
558,2026-07-30T11:32:03Z,1785411123756716823,576,6636,6896,5,166,98434,323662234,200,196,196,448255598,353824
559,2026-07-30T11:32:04Z,1785411124789244350,577,6664,6896,5,168,98612,323663024,200,196,196,448255598,353824
560,2026-07-30T11:32:05Z,1785411125821038366,578,6664,6896,5,168,98789,323663801,200,196,196,448255598,353824
561,2026-07-30T11:32:06Z,1785411126852120606,579,6664,6896,5,168,98961,323664569,200,196,196,448255598,353824
562,2026-07-30T11:32:07Z,1785411127884268217,580,6664,6896,5,168,99134,323665341,200,196,196,448255598,353824
563,2026-07-30T11:32:08Z,1785411128917266337,581,6664,6896,5,168,99311,323666119,200,196,196,448255598,353824
564,2026-07-30T11:32:09Z,1785411129949438333,582,6728,6896,5,168,99487,323666897,200,196,196,448255598,353824
565,2026-07-30T11:32:10Z,1785411130981547945,583,6492,6896,5,125,99661,323667684,200,196,196,448255598,353824
566,2026-07-30T11:32:12Z,1785411132012947039,585,6492,6896,5,125,99835,323668462,200,196,196,448255598,353824
567,2026-07-30T11:32:13Z,1785411133045314714,586,6492,6896,5,125,100009,323669243,200,196,196,448255598,353824
568,2026-07-30T11:32:14Z,1785411134078401093,587,6492,6896,5,125,100185,323670021,200,196,196,448255598,353824
569,2026-07-30T11:32:15Z,1785411135110437787,588,6492,6896,5,125,100359,323670796,200,196,196,448255598,353824
570,2026-07-30T11:32:16Z,1785411136143387979,589,6492,6896,5,125,100536,323671576,200,196,196,448255598,353824
571,2026-07-30T11:32:17Z,1785411137178911707,590,6492,6896,5,125,100713,323672352,200,196,196,448255598,353824
572,2026-07-30T11:32:18Z,1785411138210680860,591,6492,6896,5,125,100895,323673134,200,196,196,448255598,353824
573,2026-07-30T11:32:19Z,1785411139243030798,592,6492,6896,5,125,101080,323673916,200,196,196,448255598,353824
574,2026-07-30T11:32:20Z,1785411140274217202,593,6528,6896,5,125,101264,323674695,200,196,196,448255598,353824
575,2026-07-30T11:32:21Z,1785411141307403274,594,6492,6896,5,125,101449,323675476,200,196,196,448255598,353824
576,2026-07-30T11:32:22Z,1785411142338264241,595,6492,6896,5,125,101635,323676259,200,196,196,448255598,353824
577,2026-07-30T11:32:23Z,1785411143369808774,596,6492,6896,5,125,101823,323677032,200,196,196,448255598,353824
578,2026-07-30T11:32:24Z,1785411144401956500,597,6492,6896,5,125,102008,323677818,200,196,196,448255598,353824
579,2026-07-30T11:32:25Z,1785411145433098641,598,6556,6896,5,125,102195,323678600,200,196,196,448255598,353824
