sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,stats_curl_exit,stats_bytes,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
378,2026-08-04T05:03:00Z,1785819780232545844,380,4644,4644,4,16,2680,4676611,200,0,380,0,0,461,1052
379,2026-08-04T05:03:01Z,1785819781236184261,381,4640,4640,4,15,2686,4677411,200,0,380,0,0,461,1053
380,2026-08-04T05:03:02Z,1785819782239539447,382,4616,4616,4,14,2691,4678211,200,0,380,0,0,461,1053
381,2026-08-04T05:03:03Z,1785819783243065495,383,4608,4608,4,12,2693,4679014,200,0,380,0,0,461,1053
382,2026-08-04T05:03:04Z,1785819784246332164,384,4280,4444,4,10,2693,4679817,200,0,380,0,0,461,1053
383,2026-08-04T05:03:05Z,1785819785250393502,385,4280,4444,4,10,2693,4680620,200,0,380,0,0,461,1053
384,2026-08-04T05:03:06Z,1785819786254285490,386,4280,4444,4,10,2693,4681422,200,0,380,0,0,461,1053
385,2026-08-04T05:03:07Z,1785819787258136715,387,4280,4444,4,10,2693,4682225,200,0,380,0,0,461,1053
386,2026-08-04T05:03:08Z,1785819788262059397,388,4280,4444,4,10,2693,4683028,200,0,380,0,0,461,1053
387,2026-08-04T05:03:09Z,1785819789266179705,389,4284,4444,4,11,2693,4683830,200,0,380,0,0,461,1053
388,2026-08-04T05:03:10Z,1785819790270618377,390,4288,4444,4,12,2694,4684630,200,0,380,0,0,461,1053
389,2026-08-04T05:03:11Z,1785819791274858838,391,4312,4444,4,13,2696,4685429,200,0,380,0,0,461,1053
390,2026-08-04T05:03:12Z,1785819792278796184,392,4316,4444,4,14,2701,4686226,200,0,380,0,0,461,1053
391,2026-08-04T05:03:13Z,1785819793282676843,393,4640,4640,4,15,2708,4687020,200,0,380,0,0,461,1053
392,2026-08-04T05:03:14Z,1785819794287039041,394,4652,4652,4,18,2715,4687814,200,0,380,0,0,461,1054
393,2026-08-04T05:03:15Z,1785819795290786910,395,4656,4656,4,18,2722,4688609,200,0,380,0,0,461,1054
394,2026-08-04T05:03:16Z,1785819796294001140,396,4656,4656,4,18,2730,4689401,200,0,380,0,0,461,1054
395,2026-08-04T05:03:17Z,1785819797298174469,397,4656,4656,4,18,2738,4690195,200,0,380,0,0,461,1055
396,2026-08-04T05:03:18Z,1785819798302877110,398,4656,4656,4,18,2745,4690990,200,0,380,0,0,461,1055
397,2026-08-04T05:03:19Z,1785819799306400322,399,4656,4656,4,18,2753,4691785,200,0,380,0,0,461,1055
398,2026-08-04T05:03:20Z,1785819800309489351,400,4656,4656,4,18,2760,4692578,200,0,380,0,0,461,1055
399,2026-08-04T05:03:21Z,1785819801313559775,401,4656,4656,4,18,2767,4693372,200,0,380,0,0,461,1056
400,2026-08-04T05:03:22Z,1785819802317387808,402,4656,4656,4,18,2775,4694169,200,0,380,0,0,461,1056
401,2026-08-04T05:03:23Z,1785819803321797360,403,4656,4656,4,18,2782,4694963,200,0,380,0,0,461,1057
402,2026-08-04T05:03:24Z,1785819804325085764,404,4656,4656,4,18,2790,4695756,200,0,380,0,0,461,1057
403,2026-08-04T05:03:25Z,1785819805328330544,405,4656,4656,4,18,2797,4696552,200,0,380,0,0,461,1057
404,2026-08-04T05:03:26Z,1785819806332885294,406,4656,4656,4,18,2805,4697346,200,0,380,0,0,461,1058
405,2026-08-04T05:03:27Z,1785819807336035603,407,4656,4656,4,18,2812,4698141,200,0,380,0,0,461,1059
406,2026-08-04T05:03:28Z,1785819808340179351,408,4656,4656,4,18,2820,4698936,200,0,380,0,0,461,1060
407,2026-08-04T05:03:29Z,1785819809344814776,409,4656,4656,4,18,2827,4699730,200,0,380,0,0,461,1061
408,2026-08-04T05:03:30Z,1785819810349000878,410,4656,4656,4,18,2835,4700527,200,0,380,0,0,461,1061
