sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
672,2026-07-30T12:06:24Z,1785413184245232592,694,6780,6808,5,170,118719,325220116,200,196,196,448255602,361145
673,2026-07-30T12:06:25Z,1785413185277481230,695,6780,6844,5,170,118900,325220899,200,196,196,448255602,361146
674,2026-07-30T12:06:26Z,1785413186309515457,696,6780,6808,5,170,119082,325221686,200,196,196,448255602,361147
675,2026-07-30T12:06:27Z,1785413187341358986,697,6780,6808,5,170,119263,325222476,200,196,196,448255602,361148
676,2026-07-30T12:06:28Z,1785413188372451673,698,6808,6808,5,170,119442,325223262,200,196,196,448255602,361151
677,2026-07-30T12:06:29Z,1785413189403982211,699,6780,6808,5,170,119623,325224053,200,196,196,448255602,361152
678,2026-07-30T12:06:30Z,1785413190436099930,700,6780,6808,5,170,119804,325224835,200,196,196,448255602,361156
679,2026-07-30T12:06:31Z,1785413191469525010,701,6780,6808,5,170,119985,325225633,200,196,196,448255602,361158
680,2026-07-30T12:06:32Z,1785413192501318562,702,6780,6808,5,170,120166,325226418,200,196,196,448255602,361162
681,2026-07-30T12:06:33Z,1785413193533524196,703,6780,6808,5,170,120345,325227208,200,196,196,448255602,361163
682,2026-07-30T12:06:34Z,1785413194564971037,704,6780,6840,5,170,120526,325228000,200,196,196,448255602,361163
683,2026-07-30T12:06:35Z,1785413195597227789,705,6780,6808,5,170,120706,325228794,200,196,196,448255602,361163
684,2026-07-30T12:06:36Z,1785413196629156620,706,6844,6808,5,170,120891,325229581,200,196,196,448255602,361163
685,2026-07-30T12:06:37Z,1785413197661206998,707,6780,6808,5,170,121075,325230370,200,196,196,448255602,361163
686,2026-07-30T12:06:38Z,1785413198695008154,708,6824,6808,5,170,121261,325231156,200,196,196,448255602,361163
687,2026-07-30T12:06:39Z,1785413199725611567,709,6780,6808,5,170,121445,325231939,200,196,196,448255602,361163
688,2026-07-30T12:06:40Z,1785413200758909697,710,6780,6808,5,170,121630,325232723,200,196,196,448255602,361164
689,2026-07-30T12:06:41Z,1785413201789447343,711,6780,6824,5,170,121809,325233508,200,196,196,448255602,361169
690,2026-07-30T12:06:42Z,1785413202820409361,712,6780,6808,5,170,121987,325234300,200,196,196,448255602,361172
691,2026-07-30T12:06:43Z,1785413203851164817,713,6780,6808,5,170,122166,325235088,200,196,196,448255602,361174
692,2026-07-30T12:06:44Z,1785413204882785752,714,6792,6820,5,173,122349,325235874,200,196,196,448255602,361177
693,2026-07-30T12:06:45Z,1785413205915402775,715,6792,6808,5,173,122531,325236663,200,196,196,448255602,361177
694,2026-07-30T12:06:46Z,1785413206948258598,716,6792,6808,5,173,122716,325237454,200,196,196,448255602,361177
695,2026-07-30T12:06:47Z,1785413207979915520,717,6792,6808,5,173,122901,325238241,200,196,196,448255602,361177
696,2026-07-30T12:06:49Z,1785413209012117178,719,6792,6856,5,173,123084,325239026,200,196,196,448255602,361177
697,2026-07-30T12:06:50Z,1785413210043190100,720,6792,6808,5,173,123267,325239814,200,196,196,448255602,361177
698,2026-07-30T12:06:51Z,1785413211073511626,721,6792,6808,5,173,123447,325240601,200,196,196,448255602,361177
699,2026-07-30T12:06:52Z,1785413212105004556,722,6768,6808,5,172,123630,325241394,200,196,196,448255602,361177
700,2026-07-30T12:06:53Z,1785413213137750846,723,6768,6808,5,172,123811,325242187,200,196,196,448255602,361185
701,2026-07-30T12:06:54Z,1785413214171562036,724,6780,6808,5,172,123989,325242975,200,196,196,448255602,361192
702,2026-07-30T12:06:55Z,1785413215204138802,725,6780,6808,5,172,124167,325243771,200,196,196,448255602,361197
703,2026-07-30T12:06:56Z,1785413216237198198,726,6780,6808,5,172,124343,325244560,200,196,196,448255602,361204
704,2026-07-30T12:06:57Z,1785413217269683331,727,6780,6808,5,172,124518,325245352,200,196,196,448255602,361210
705,2026-07-30T12:06:58Z,1785413218301424251,728,6780,6808,5,172,124693,325246142,200,196,196,448255602,361219
706,2026-07-30T12:06:59Z,1785413219333529046,729,6780,6808,5,172,124870,325246935,200,196,196,448255602,361232
707,2026-07-30T12:07:00Z,1785413220365438569,730,6780,6808,5,172,125044,325247725,200,196,196,448255602,361245
708,2026-07-30T12:07:01Z,1785413221398618594,731,6780,6808,5,172,125220,325248511,200,196,196,448255602,361252
709,2026-07-30T12:07:02Z,1785413222429964427,732,6780,6840,5,172,125397,325249302,200,196,196,448255602,361261
710,2026-07-30T12:07:03Z,1785413223459514392,733,6780,6808,5,172,125571,325250089,200,196,196,448255602,361270
711,2026-07-30T12:07:04Z,1785413224492340773,734,6780,6808,5,172,125744,325250879,200,196,196,448255602,361279
712,2026-07-30T12:07:05Z,1785413225524174505,735,6780,6808,5,172,125918,325251670,200,196,196,448255602,361288
713,2026-07-30T12:07:06Z,1785413226556362199,736,6780,6820,5,172,126089,325252453,200,196,196,448255602,361302
714,2026-07-30T12:07:07Z,1785413227588950308,737,6800,6808,5,175,126263,325253235,200,196,196,448255602,361312
715,2026-07-30T12:07:08Z,1785413228621480917,738,6800,6864,5,175,126446,325254023,200,196,196,448255602,361320
716,2026-07-30T12:07:09Z,1785413229653485874,739,6856,6808,5,175,126631,325254794,000,196,196,448255602,361330
717,2026-07-30T12:07:10Z,1785413230684764450,740,6800,6808,5,175,126810,325255586,200,196,196,448255602,361337
718,2026-07-30T12:07:11Z,1785413231715421510,741,6800,6808,5,175,126989,325256376,200,196,196,448255602,361348
719,2026-07-30T12:07:12Z,1785413232748196476,742,6800,6808,5,175,127167,325257156,200,196,196,448255602,361356
720,2026-07-30T12:07:13Z,1785413233779377536,743,6800,6808,5,175,127344,325257951,200,196,196,448255602,361367
721,2026-07-30T12:07:14Z,1785413234810771883,744,6812,6808,5,175,127524,325258740,200,196,196,448255602,361374
